GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,RawModelWinProbability,RawModelEffectiveProbability,RawModelFairOdds,RawExpectedReturnPerUnit,ModelWinProbability,DecisionEffectiveProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ConsensusFairProbability,ConsensusBookCount,MarketPriorSource,RawModelMarketGap,ProbabilityEdge,DecisionStatus,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion,V2ModelVersion,V2WinProbability,V2PushProbability,V2ExpectedReturnPerUnit,V1V2ProbabilityGap,V2Agreement,V2AdmissionStatus,ExtremeEdgeFlag,ExtremeEdgeThreshold,ExtremeLinePairValid,ExtremeConsensusBookCount,ExtremeConsensusMedianOdds,ExtremeConsensusMedianImpliedProbability,ExtremeRawModelConsensusProbabilityGap,ExtremeMyBookieConsensusPriceDeviationPct,ExtremeEdgeSanityPass,ExtremeEdgeSanityStatus
1,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Moneyline,Hull City,,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,3.44,0.3970911861346559,0.3970911861346559,2.5183132613295887,0.3659936803032162,0.3356228107967665,0.3356228107967665,0.0,2.979535263488218,0.2906976744186046,0.2604947964949016,8,consensus_non_mybookie,0.1365963896397542,0.0751280143018648,BET_ELIGIBLE,0.1545424691408766,15.454246914087664,0.88,"Derived, live validation building",64.98114053983832,100.0,79.9892231656219,B,1.2500924527002084,1.0563633753134452,1-1,V1.2,V2-shadow.4,0.3970911861346559,0.0,0.3659936803032162,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
2,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Moneyline,Crystal Palace,,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,2.62,0.4775446707053613,0.4775446707053613,2.094044937247319,0.2511670372480465,0.4258861258183419,0.4258861258183419,0.0,2.3480454970879734,0.381679389312977,0.3627479042897626,8,consensus_non_mybookie,0.1147967664155986,0.0631382215285792,BET_ELIGIBLE,0.1158216496440559,11.582164964405594,0.88,"Derived, live validation building",63.51309497862688,77.21443309603731,69.38509702894564,C,1.7601258654260534,1.286788874025405,1-1,V1.2,V2-shadow.4,0.4775446707053613,0.0,0.25116703724804657,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
3,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Spread,Hull City +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.7,0.698336531147448,0.698336531147448,1.431974349611761,0.1871721029506615,0.6322662585153086,0.6322662585153086,0.0,1.5816121555311302,0.5882352941176471,0.5331608495670996,4,consensus_non_mybookie,0.1651756815803483,0.0991054089482089,BET_ELIGIBLE,0.0748526394760246,7.48526394760246,0.84,"Derived, live validation building",66.06252483406973,49.90175965068308,59.1364826126183,D,1.2500924527002084,1.0563633753134452,1-1,V1.2,V2-shadow.4,0.698336531147448,0.0,0.18717210295066156,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
4,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.96,0.5699849278902749,0.5699849278902749,1.7544323561350472,0.1171704586649388,0.5363756197953454,0.5363756197953454,0.0,1.86436512603155,0.5102040816326531,0.4739583333333334,6,consensus_non_mybookie,0.0960265945569414,0.062417286462012,BET_ELIGIBLE,0.051296214798877,5.129621479887703,1.0,Calibrated O/U 2.5,59.54561857957075,34.19747653258469,48.68212913086243,D,1.7601258654260534,1.286788874025405,1-1,V1.2,V2-shadow.4,0.5872370866452715,0.0,0.15098468982473212,0.017252158754996638,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
5,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Moneyline,Fulham,,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,2.49,0.4659509457671624,0.4659509457671624,2.1461486645414047,0.1602178549602345,0.4243119524287249,0.4243119524287249,0.0,2.3567566133267905,0.4016064257028112,0.3734198494595234,8,consensus_non_mybookie,0.0925310963076389,0.0508921029692014,BET_ELIGIBLE,0.056536761547525,5.653676154752507,0.88,"Derived, live validation building",53.05953089225313,37.69117436501672,46.473092380580376,D,1.2756725276280814,1.7014803077776877,1-1,V1.2,V2-shadow.4,0.4659509457671624,0.0,0.16021785496023455,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
6,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Moneyline,Bournemouth,,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,3.75,0.3162590491207305,0.3162590491207305,3.161964860073472,0.1859714342027393,0.2827000936338555,0.2827000936338555,0.0,3.5373175408111788,0.2666666666666666,0.2416835924832306,8,consensus_non_mybookie,0.0745754566374998,0.0410165011506249,REVIEW,0.0601253511269582,6.012535112695828,0.88,"Derived, live validation building",46.60694112891047,40.08356741797218,43.81120953850834,D,1.9672879754439807,1.6261354312070204,1-1,V1.2,V2-shadow.4,0.3162590491207305,0.0,0.18597143420273932,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
7,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Spread,Fulham -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,2.42,0.4659509457671624,0.4659509457671624,2.1461486645414043,0.1276012887565331,0.4326317919500934,0.4326317919500934,0.0,2.311434385097977,0.4132231404958678,0.3826530612244898,1,mybookie_devig_fallback,0.0832978845426726,0.0499787307256036,REVIEW,0.0469689365192259,4.696893651922595,0.84,"Derived, live validation building",51.20115348836921,31.31262434615064,42.677498141704106,D,1.2756725276280814,1.7014803077776877,1-1,V1.2,V2-shadow.4,0.46595094576716245,0.0,0.1276012887565331,5.551115123125783e-17,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
8,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Spread,Crystal Palace +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.47,0.7274200679219633,0.7274200679219633,1.3747214905092209,0.0693074998452861,0.6887133472858413,0.6887133472858413,0.0,1.4519828952653695,0.6802721088435374,0.6306532663316583,1,mybookie_devig_fallback,0.096766801590305,0.058060080954183,REVIEW_LOW_MARKET_SUPPORT,0.0124086205101867,1.2408620510186708,0.84,"Derived, live validation building",57.95717595357475,8.272413673457805,36.6637064049532,D,1.7601258654260534,1.286788874025405,1-1,V1.2,V2-shadow.4,0.7274200679219633,0.0,0.06930749984528611,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
9,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Moneyline,Liverpool,,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,2.69,0.4164877301311628,0.4164877301311628,2.4010311172554206,0.1203519940528279,0.3833673901348338,0.3833673901348338,0.0,2.608463906250062,0.3717472118959108,0.3428869745837649,8,consensus_non_mybookie,0.0736007555473978,0.0404804155510688,REVIEW,0.0312582794627028,3.125827946270288,0.88,"Derived, live validation building",46.58856841271469,20.838852975135254,35.552976082323504,D,1.784169368500562,1.6077729795054656,1-1,V1.2,V2-shadow.4,0.4164877301311628,0.0,0.12035199405282793,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
10,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Spread,Liverpool +0.5,0.5,MyBookie.ag,mybookieag,2026-09-22T20:08:43Z,2026-09-22T20:08:59.239898+00:00,odds_api_mybookie_direct,2026-09-22 20:08:43+00:00,0.2953014333333333,FRESH,1.56,0.656829087702709,0.656829087702709,1.5224660702794812,0.024653376816226,0.6320195305437033,0.6320195305437033,0.0,1.5822295857530486,0.641025641025641,0.5948051948051947,1,mybookie_devig_fallback,0.0620238928975143,0.0372143357385086,REVIEW,-0.0140495323518228,-1.4049532351822824,0.84,"Derived, live validation building",50.49230836561617,0.0,28.85274763749495,PASS,1.784169368500562,1.6077729795054656,1-1,V1.2,V2-shadow.4,0.656829087702709,0.0,0.024653376816226036,0.0,True,ADMITTED: V1.2 and V2.3 agree,False,0.25,True,0,,,,,True,"PASS: normal edge, extreme audit not required"
