GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,RawModelWinProbability,RawModelEffectiveProbability,RawModelFairOdds,RawExpectedReturnPerUnit,ModelWinProbability,DecisionEffectiveProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ConsensusFairProbability,ConsensusBookCount,MarketPriorSource,RawModelMarketGap,ProbabilityEdge,DecisionStatus,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion,DecisionFocusScore,DecisionTier,DecisionGateStatus,Agreement,ModalSupport,ModalSupportNote,AdjustedPick,AdjustedPickProbability,AdjustedMarketStatus,DecisionReason,DecisionRule
4,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Spread,Hull City +0.5,0.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,1.7,0.6983894636657989,0.6983894636657989,1.4318658170343348,0.187262088231858,0.632575344866146,0.632575344866146,0.0,1.5808393547358406,0.5882352941176471,0.5338541666666666,2,consensus_non_mybookie,0.1645352969991322,0.0987211781994793,BET_ELIGIBLE,0.0753780862724481,7.537808627244813,0.84,"Derived, live validation building",66.16993234098571,50.25205751496542,59.34798598697701,D,1.2501010184685135,1.0561814651850812,1-1,V1.2,77.2739929934885,BET_CANDIDATE,BET_ELIGIBLE,STRONG_AGREEMENT,1.0,Modal score 1-1 covers the spread,Hull City,0.3765922489667624,MARKET_INCLUDED,"Decision gate: BET_ELIGIBLE; V1.2, V2 context and adjusted direction agree; Modal score 1-1 covers the spread; Positive modeled EV 7.5%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
1,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Moneyline,Hull City,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,3.44,0.3971348094133268,0.3971348094133268,2.518036637174325,0.3661437443818441,0.3353982085779061,0.3353982085779061,0.0,2.9815305342268115,0.2906976744186046,0.2599423631123919,8,consensus_non_mybookie,0.1371924463009348,0.0754558454655142,BET_ELIGIBLE,0.1537698375079971,15.376983750799711,0.88,"Derived, live validation building",64.9699104288953,100.0,79.98280595936873,B,1.2501010184685135,1.0561814651850812,1-1,V1.2,73.19140297968437,BET_CANDIDATE,BET_ELIGIBLE,STRONG_AGREEMENT,0.0,Modal score 1-1 implies Draw,Hull City,0.3765922489667624,MARKET_INCLUDED,"Decision gate: BET_ELIGIBLE; V1.2, V2 context and adjusted direction agree; Modal score 1-1 implies Draw; Positive modeled EV 15.4%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
2,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Moneyline,Crystal Palace,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.61,0.4775334204289401,0.4775334204289401,2.0940942711439106,0.2463622273195336,0.4258799381663103,0.4258799381663103,0.0,2.348079612074824,0.3831417624521073,0.3627479042897626,8,consensus_non_mybookie,0.1147855161391774,0.0631320338765476,BET_ELIGIBLE,0.1115466386140698,11.154663861406988,0.88,"Derived, live validation building",62.76465866577774,74.36442574271325,67.73598741303582,C,1.7601093221541944,1.2868222009334622,1-1,V1.2,67.06799370651791,BET_CANDIDATE,BET_ELIGIBLE,STRONG_AGREEMENT,0.0,Modal score 1-1 implies Draw,Crystal Palace,0.4602724422457044,MARKET_INCLUDED,"Decision gate: BET_ELIGIBLE; V1.2, V2 context and adjusted direction agree; Modal score 1-1 implies Draw; Positive modeled EV 11.2%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
3,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Spread,Crystal Palace -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.52,0.4775334204289401,0.4775334204289401,2.0940942711439106,0.203384219480929,0.4332537205990726,0.4332537205990726,0.0,2.3081163587407185,0.3968253968253968,0.3668341708542713,1,mybookie_devig_fallback,0.1106992495746687,0.0664195497448012,REVIEW_LOW_MARKET_SUPPORT,0.0917993759096628,9.17993759096628,0.84,"Derived, live validation building",59.07757681414461,61.1995839397752,59.98700843941487,D,1.7601093221541944,1.2868222009334622,1-1,V1.2,62.59350421970744,REVIEW,REVIEW_LOW_MARKET_SUPPORT,STRONG_AGREEMENT,0.0,Modal score 1-1 does not cover the spread,Crystal Palace,0.4602724422457044,MARKET_INCLUDED,"Decision gate: REVIEW_LOW_MARKET_SUPPORT; V1.2, V2 context and adjusted direction agree; Modal score 1-1 does not cover the spread; Positive modeled EV 9.2%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
5,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,1.96,0.569987157681271,0.569987157681271,1.754425492791868,0.117174829055291,0.5363770691594928,0.5363770691594928,0.0,1.8643600882621771,0.5102040816326531,0.4739583333333334,6,consensus_non_mybookie,0.0960288243479375,0.0624187358261593,BET_ELIGIBLE,0.0512990555526058,5.129905555260583,1.0,Calibrated O/U 2.5,59.54618817968066,34.19937036840389,48.68326626056204,D,1.7601093221541944,1.2868222009334622,1-1,V1.2,59.341633130281025,REVIEW,BET_ELIGIBLE,STRONG_AGREEMENT,0.0,Modal score 1-1 opposes over 2.5,Crystal Palace,0.4602724422457044,MARKET_INCLUDED,"Decision gate: BET_ELIGIBLE; V1.2, V2 context and adjusted direction agree; Modal score 1-1 opposes over 2.5; Positive modeled EV 5.1%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
6,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Moneyline,Fulham,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.45,0.4660042416647111,0.4660042416647111,2.145903214158934,0.1417103920785423,0.4256228197310069,0.4256228197310069,0.0,2.349498085257738,0.4081632653061224,0.3762677484787018,8,consensus_non_mybookie,0.0897364931860092,0.049355071252305,REVIEW,0.042775908340967,4.277590834096701,0.88,"Derived, live validation building",50.71692494621958,28.51727222731134,41.20278806668748,D,1.2756121150578648,1.7016459899608325,1-1,V1.2,53.80139403334374,REVIEW,REVIEW,STRONG_AGREEMENT,0.0,Modal score 1-1 implies Draw,Fulham,0.4525437676868097,MARKET_INCLUDED,"Decision gate: REVIEW; V1.2, V2 context and adjusted direction agree; Modal score 1-1 implies Draw; Positive modeled EV 4.3%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
8,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Moneyline,Liverpool,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.7,0.4164777980742729,0.4164777980742729,2.4010883764364896,0.1244900548005368,0.3851147229675108,0.3851147229675108,0.0,2.596628849436022,0.3703703703703703,0.3467820756148015,8,consensus_non_mybookie,0.0696957224594713,0.0383326473527092,REVIEW,0.0398097520122793,3.980975201227932,0.88,"Derived, live validation building",48.172442750524425,26.53983467485288,38.90132500380805,D,1.784191412051835,1.6078494387904512,1-1,V1.2,52.65066250190402,REVIEW,REVIEW,STRONG_AGREEMENT,0.0,Modal score 1-1 implies Draw,Liverpool,0.4057733400288884,MARKET_INCLUDED,"Decision gate: REVIEW; V1.2, V2 context and adjusted direction agree; Modal score 1-1 implies Draw; Positive modeled EV 4.0%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
9,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Moneyline,Bournemouth,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,3.7,0.3162583250727602,0.3162583250727602,3.16197209913742,0.1701558027692128,0.2826996954074719,0.2826996954074719,0.0,3.5373225236717727,0.2702702702702702,0.2416835924832306,8,consensus_non_mybookie,0.0745747325895295,0.0410161029242412,REVIEW,0.045988873007646,4.598887300764609,0.88,"Derived, live validation building",44.13303754671166,30.65924867176406,38.35855660030554,D,1.9673349671036573,1.6261671135470963,1-1,V1.2,52.37927830015276,REVIEW,REVIEW,STRONG_AGREEMENT,0.0,Modal score 1-1 implies Draw,Chelsea,0.4647279045886333,MARKET_INCLUDED,"Decision gate: REVIEW; V1.2, V2 context and adjusted direction agree; Modal score 1-1 implies Draw; Positive modeled EV 4.6%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
7,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Spread,Fulham -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.39,0.4660042416647111,0.4660042416647111,2.145903214158934,0.1137501375786596,0.4344743398706215,0.4344743398706215,0.0,2.301631899130756,0.4184100418410041,0.3871794871794871,1,mybookie_devig_fallback,0.0788247544852239,0.0472948526911343,REVIEW,0.0383936722907853,3.8393672290785386,0.84,"Derived, live validation building",49.79260964441852,25.59578152719026,39.422540451320685,D,1.2756121150578648,1.7016459899608325,1-1,V1.2,52.311270225660344,REVIEW,REVIEW,STRONG_AGREEMENT,0.0,Modal score 1-1 does not cover the spread,Fulham,0.4525437676868097,MARKET_INCLUDED,"Decision gate: REVIEW; V1.2, V2 context and adjusted direction agree; Modal score 1-1 does not cover the spread; Positive modeled EV 3.8%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
10,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Spread,Leeds +1.5,1.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,1.73,0.6117896032207931,0.6117896032207931,1.6345488624446318,0.0583960135719721,0.5857266116734086,0.5857266116734086,0.0,1.7072811445992202,0.5780346820809249,0.5466321243523315,2,consensus_non_mybookie,0.0651574788684615,0.039094487321077,REVIEW,0.0133070381949967,1.330703819499679,0.84,"Derived, live validation building",52.96506226779487,8.871358796664527,34.067760780167575,D,1.9909611581945903,0.8778019841215658,2-0,V1.2,49.63388039008379,REVIEW,REVIEW,STRONG_AGREEMENT,0.0,Modal score 2-0 does not cover the spread,Arsenal,0.6365149093861654,MARKET_INCLUDED,"Decision gate: REVIEW; V1.2, V2 context and adjusted direction agree; Modal score 2-0 does not cover the spread; Positive modeled EV 1.3%","Focus score = 50% existing rank + 20% V1/V2/adjusted agreement + 15% modal-score support + 15% validation. Research decision aid, not a guarantee."
