GameweekRank,Date,KickoffUTC,FPLGameweek,HomeTeam,AwayTeam,MarketType,Selection,Line,Bookmaker,BookmakerKey,BookLastUpdate,QuoteCapturedAt,PriceSource,PriceTimestampUTC,PriceAgeMinutes,PriceFreshnessStatus,MyBookieOdds,RawModelWinProbability,RawModelEffectiveProbability,RawModelFairOdds,RawExpectedReturnPerUnit,ModelWinProbability,DecisionEffectiveProbability,PushProbability,ModelFairOdds,MyBookieImpliedProbability,ConsensusFairProbability,ConsensusBookCount,MarketPriorSource,RawModelMarketGap,ProbabilityEdge,DecisionStatus,ExpectedReturnPerUnit,ExpectedProfitPer100,ValidationFactor,ValidationStatus,BetQualityScore,ProfitabilityScore,OverallRankScore,Grade,Lambda_Home_xG,Lambda_Away_xG,MostLikelyScore,ModelVersion
1,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Moneyline,Hull City,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,3.44,0.3971348094133268,0.3971348094133268,2.5180366371743252,0.36614374438184416,0.33539820857790614,0.33539820857790614,0.0,2.9815305342268115,0.29069767441860467,0.25994236311239194,8,consensus_non_mybookie,0.13719244630093486,0.0754558454655142,BET_ELIGIBLE,0.1537698375079971,15.376983750799711,0.88,"Derived, live validation building",64.9699104288953,100.0,79.98280595936873,B,1.2501010184685135,1.0561814651850812,1-1,V1.2
2,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Moneyline,Crystal Palace,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.61,0.4775334204289401,0.4775334204289401,2.0940942711439106,0.2463622273195336,0.4258799381663103,0.4258799381663103,0.0,2.348079612074824,0.3831417624521073,0.36274790428976267,8,consensus_non_mybookie,0.11478551613917742,0.06313203387654764,BET_ELIGIBLE,0.11154663861406988,11.154663861406988,0.88,"Derived, live validation building",62.76465866577774,74.36442574271325,67.73598741303582,C,1.7601093221541944,1.2868222009334622,1-1,V1.2
3,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Spread,Crystal Palace -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.52,0.4775334204289401,0.4775334204289401,2.0940942711439106,0.203384219480929,0.4332537205990726,0.4332537205990726,0.0,2.3081163587407185,0.3968253968253968,0.36683417085427134,1,mybookie_devig_fallback,0.11069924957466876,0.06641954974480124,REVIEW_LOW_MARKET_SUPPORT,0.0917993759096628,9.179937590966281,0.84,"Derived, live validation building",59.077576814144614,61.1995839397752,59.987008439414865,D,1.7601093221541944,1.2868222009334622,1-1,V1.2
4,2026-10-11,2026-10-11T13:00:00+00:00,6,Hull City,Everton,Spread,Hull City +0.5,0.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,1.7,0.6983894636657989,0.6983894636657989,1.4318658170343348,0.18726208823185808,0.632575344866146,0.632575344866146,0.0,1.5808393547358406,0.5882352941176471,0.5338541666666666,2,consensus_non_mybookie,0.16453529699913227,0.09872117819947934,BET_ELIGIBLE,0.07537808627244813,7.537808627244813,0.84,"Derived, live validation building",66.16993234098571,50.25205751496542,59.34798598697701,D,1.2501010184685135,1.0561814651850812,1-1,V1.2
5,2026-10-11,2026-10-11T13:00:00+00:00,6,Crystal Palace,Nott'm Forest,Total,Over 2.5,2.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,1.96,0.569987157681271,0.569987157681271,1.754425492791868,0.11717482905529109,0.5363770691594928,0.5363770691594928,0.0,1.8643600882621774,0.5102040816326531,0.4739583333333334,6,consensus_non_mybookie,0.09602882434793752,0.062418735826159366,BET_ELIGIBLE,0.05129905555260583,5.129905555260583,1.0,Calibrated O/U 2.5,59.54618817968066,34.19937036840389,48.68326626056204,D,1.7601093221541944,1.2868222009334622,1-1,V1.2
6,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Moneyline,Fulham,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.45,0.4660042416647111,0.4660042416647111,2.145903214158934,0.1417103920785423,0.4256228197310069,0.4256228197310069,0.0,2.349498085257738,0.4081632653061224,0.3762677484787018,8,consensus_non_mybookie,0.08973649318600929,0.049355071252305094,REVIEW,0.042775908340967006,4.277590834096701,0.88,"Derived, live validation building",50.71692494621958,28.51727222731134,41.202788066687475,D,1.2756121150578648,1.7016459899608325,1-1,V1.2
7,2026-10-10,2026-10-10T14:00:00+00:00,6,Ipswich Town,Fulham,Spread,Fulham -0.5,-0.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.39,0.4660042416647111,0.4660042416647111,2.145903214158934,0.1137501375786596,0.4344743398706215,0.4344743398706215,0.0,2.3016318991307556,0.41841004184100417,0.38717948717948714,1,mybookie_devig_fallback,0.07882475448522397,0.04729485269113437,REVIEW,0.038393672290785386,3.8393672290785386,0.84,"Derived, live validation building",49.79260964441852,25.59578152719026,39.422540451320685,D,1.2756121150578648,1.7016459899608325,1-1,V1.2
8,2026-10-11,2026-10-11T15:30:00+00:00,6,Liverpool,Man City,Moneyline,Liverpool,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,2.7,0.4164777980742729,0.4164777980742729,2.4010883764364896,0.12449005480053688,0.3851147229675108,0.3851147229675108,0.0,2.596628849436022,0.37037037037037035,0.34678207561480157,8,consensus_non_mybookie,0.06969572245947131,0.03833264735270925,REVIEW,0.03980975201227932,3.980975201227932,0.88,"Derived, live validation building",48.172442750524425,26.53983467485288,38.90132500380805,D,1.784191412051835,1.6078494387904512,1-1,V1.2
9,2026-10-10,2026-10-10T14:00:00+00:00,6,Chelsea,Bournemouth,Moneyline,Bournemouth,,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,3.7,0.3162583250727602,0.3162583250727602,3.1619720991374196,0.17015580276921283,0.2826996954074719,0.2826996954074719,0.0,3.5373225236717727,0.27027027027027023,0.24168359248323062,8,consensus_non_mybookie,0.07457473258952957,0.04101610292424129,REVIEW,0.04598887300764609,4.598887300764609,0.88,"Derived, live validation building",44.13303754671166,30.65924867176406,38.35855660030554,D,1.9673349671036575,1.6261671135470963,1-1,V1.2
10,2026-10-10,2026-10-10T11:30:00+00:00,6,Arsenal,Leeds,Spread,Leeds +1.5,1.5,MyBookie.ag,mybookieag,2026-09-23T17:40:27Z,2026-09-23T17:40:52.148444+00:00,odds_api_mybookie_direct,2026-09-23 17:40:27+00:00,0.4368939333333334,FRESH,1.73,0.6117896032207931,0.6117896032207931,1.6345488624446318,0.058396013571972105,0.5857266116734086,0.5857266116734086,0.0,1.7072811445992202,0.5780346820809249,0.5466321243523315,2,consensus_non_mybookie,0.06515747886846157,0.03909448732107701,REVIEW,0.01330703819499679,1.330703819499679,0.84,"Derived, live validation building",52.96506226779487,8.871358796664527,34.067760780167575,D,1.9909611581945903,0.8778019841215658,2-0,V1.2
